Day 0
Susceptible table
50, 4, 34

Infected table
1, 1, 1
1, 1, 1
1, 1, 1

Recovered table
0, 0, 0
0, 0, 0
0, 0, 0

Day 1
Susceptible table
2.9122, 0.232801, 1.97887

Infected table
0.582708, 1.54175, 0.731453
0.221602, 0.113875, 0.177423
0.608383, 1.05559, 0.490258

Recovered table
0.554874, 1.49414, 0.696514
0.185863, 0.104959, 0.171944
0.579323, 0.972942, 0.475116

Day 2
Susceptible table
3.91004, 0.247443, 1.97887

Infected table
0.409687, 2.72803, 0.512736
0.138178, 0.0382591, 0.110305
0.467058, 1.30778, 0.25282

Recovered table
0.390609, 2.71594, 0.488861
0.119196, 0.0403325, 0.10705
0.455041, 1.25238, 0.245432

Day 3
Susceptible table
4.91, 0.280985, 2.97885

Infected table
0.251215, 4.14531, 0.330889
0.130618, 0.0176852, 0.0935713
0.523708, 2.18208, 0.137662

Recovered table
0.239561, 4.14845, 0.315516
0.11167, 0.0182483, 0.0907761
0.506777, 2.07172, 0.133628

Day 4
Susceptible table
5.91, 0.300133, 2.9788

Infected table
0.134079, 5.40764, 0.206969
0.140016, 0.00899347, 0.0870793
0.397303, 2.61155, 0.0676484

Recovered table
0.127886, 5.44097, 0.197362
0.119419, 0.00917062, 0.0844702
0.387329, 2.50714, 0.0656773

Day 5
Susceptible table
7.91, 0.305346, 3.9788

Infected table
0.0760555, 7.46422, 0.128737
0.152827, 0.00462633, 0.0816629
0.358315, 3.62065, 0.0335894

Recovered table
0.0725357, 7.49645, 0.122762
0.130301, 0.004707, 0.0792155
0.348081, 3.45826, 0.0326101

